experiment_id: apply_vs_axf4
track: apply_vs_axf4
run_stage: benchmark
generated_at_utc: 2026-05-15T21:24:35Z
definition_path: bench/apply_vs_axf4/config.json
results_table: results/apply_vs_axf4/runs.tsv
logs_dir: results/apply_vs_axf4/logs
row_count: 36
software_set: Groebner.groebner 0.10.3, Groebner.groebner_apply! 0.10.3, axf4 -t 1 local-copy, axf4 -t 8 local-copy
instance_set: cyclic-2, cyclic-3, cyclic-4, eco-2, eco-3, eco-4, noon-2, noon-3, noon-4
shared_field: GF(2147483647)
shared_order: degrevlex
shared_hardware_track: 
shared_runner_host: DESKTOP-RAOJN57
shared_runner_os: Windows-10-10.0.19045-SP0
shared_timeout_s: 60
notes: 
replay_command: python bench/benchmark.py apply_vs_axf4

[runs]
run_id	track	job_id	system_id	instance_id	system_ref	system_sha256	input_ref	input_sha256	software	version	runner	threads	field	order	hardware_track	timeout_s	status	exit_code	wall_time_seconds	process_wall_time_seconds	started_at_utc	finished_at_utc	runner_host	runner_os	runner_processor	runner_machine	runner_cpu_count	runner_word_size	runner_python	log_ref	command
apply-cyclic-2-groebner	apply_vs_axf4	apply-cyclic-2-groebner	cyclic	cyclic-2	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_2.txt	4792c90961eda17be6a20ad6c742b91dbea397967aa395ed7d49cca80bd53a06	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0004062	7.617575	2026-05-15T21:23:12Z	2026-05-15T21:23:19Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-2-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_2.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-cyclic-2-groebner-apply	apply_vs_axf4	apply-cyclic-2-groebner-apply	cyclic	cyclic-2	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_2.txt	4792c90961eda17be6a20ad6c742b91dbea397967aa395ed7d49cca80bd53a06	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0001008	4.052405	2026-05-15T21:23:20Z	2026-05-15T21:23:24Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-2-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_2.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-cyclic-2-axf4-t1	apply_vs_axf4	apply-cyclic-2-axf4-t1	cyclic	cyclic-2	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_2.txt	4792c90961eda17be6a20ad6c742b91dbea397967aa395ed7d49cca80bd53a06	axf4 -t 1	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.035601	0.035601	2026-05-15T21:23:24Z	2026-05-15T21:23:24Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-2-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-zp1q9o0h\cyclic_2.txt"
apply-cyclic-2-axf4-t8	apply_vs_axf4	apply-cyclic-2-axf4-t8	cyclic	cyclic-2	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_2.txt	4792c90961eda17be6a20ad6c742b91dbea397967aa395ed7d49cca80bd53a06	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.026129	0.026129	2026-05-15T21:23:24Z	2026-05-15T21:23:24Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-2-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-ezmr5fx0\cyclic_2.txt"
apply-cyclic-3-groebner	apply_vs_axf4	apply-cyclic-3-groebner	cyclic	cyclic-3	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_3.txt	abb72c9ef7dbc1e490e16b8c9bb3c6582e492fb2438a6f47573e4e063865f6e7	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0002141	4.310479	2026-05-15T21:23:24Z	2026-05-15T21:23:28Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-3-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_3.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-cyclic-3-groebner-apply	apply_vs_axf4	apply-cyclic-3-groebner-apply	cyclic	cyclic-3	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_3.txt	abb72c9ef7dbc1e490e16b8c9bb3c6582e492fb2438a6f47573e4e063865f6e7	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0001	4.143793	2026-05-15T21:23:28Z	2026-05-15T21:23:32Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-3-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_3.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-cyclic-3-axf4-t1	apply_vs_axf4	apply-cyclic-3-axf4-t1	cyclic	cyclic-3	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_3.txt	abb72c9ef7dbc1e490e16b8c9bb3c6582e492fb2438a6f47573e4e063865f6e7	axf4 -t 1	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.034631	0.034631	2026-05-15T21:23:32Z	2026-05-15T21:23:32Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-3-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2,z3] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-h4s99mic\cyclic_3.txt"
apply-cyclic-3-axf4-t8	apply_vs_axf4	apply-cyclic-3-axf4-t8	cyclic	cyclic-3	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_3.txt	abb72c9ef7dbc1e490e16b8c9bb3c6582e492fb2438a6f47573e4e063865f6e7	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.031586	0.031586	2026-05-15T21:23:32Z	2026-05-15T21:23:32Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-3-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2,z3] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-5vwjseny\cyclic_3.txt"
apply-cyclic-4-groebner	apply_vs_axf4	apply-cyclic-4-groebner	cyclic	cyclic-4	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_4.txt	7a4521a562785fa6424adde18092aaa7d53f377fa937235bd6b26f4059f25321	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0002905	4.001330	2026-05-15T21:23:32Z	2026-05-15T21:23:36Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-4-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_4.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-cyclic-4-groebner-apply	apply_vs_axf4	apply-cyclic-4-groebner-apply	cyclic	cyclic-4	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_4.txt	7a4521a562785fa6424adde18092aaa7d53f377fa937235bd6b26f4059f25321	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0001747	3.997737	2026-05-15T21:23:36Z	2026-05-15T21:23:40Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-4-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_4.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-cyclic-4-axf4-t1	apply_vs_axf4	apply-cyclic-4-axf4-t1	cyclic	cyclic-4	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_4.txt	7a4521a562785fa6424adde18092aaa7d53f377fa937235bd6b26f4059f25321	axf4 -t 1	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.057220	0.057220	2026-05-15T21:23:40Z	2026-05-15T21:23:40Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-4-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2,z3,z4] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-1a1rqldo\cyclic_4.txt"
apply-cyclic-4-axf4-t8	apply_vs_axf4	apply-cyclic-4-axf4-t8	cyclic	cyclic-4	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_4.txt	7a4521a562785fa6424adde18092aaa7d53f377fa937235bd6b26f4059f25321	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.112429	0.112429	2026-05-15T21:23:40Z	2026-05-15T21:23:40Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-cyclic-4-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2,z3,z4] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-22sk9bw_\cyclic_4.txt"
apply-eco-2-groebner	apply_vs_axf4	apply-eco-2-groebner	eco	eco-2	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_2.txt	5390f99db20ffa60d04ed179aa4100e0b5b4977f103142b28b50007128daa451	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0001214	4.157837	2026-05-15T21:23:40Z	2026-05-15T21:23:45Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-eco-2-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\eco\txt\eco_2.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-eco-2-groebner-apply	apply_vs_axf4	apply-eco-2-groebner-apply	eco	eco-2	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_2.txt	5390f99db20ffa60d04ed179aa4100e0b5b4977f103142b28b50007128daa451	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60	ok	0	0.0001118	4.435171	2026-05-15T21:23:45Z	2026-05-15T21:23:49Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-eco-2-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-sr57rebs\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\eco\txt\eco_2.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-eco-2-axf4-t1	apply_vs_axf4	apply-eco-2-axf4-t1	eco	eco-2	systems/eco/eco.md	978d5db6b8d27c588bb6a9fe6f2d1b56de7961e37ecb8d6a3dcfb2c8f34a7554	systems/eco/txt/eco_2.txt	5390f99db20ffa60d04ed179aa4100e0b5b4977f103142b28b50007128daa451	axf4 -t 1	local-copy	axf4	8	GF(2147483647)	degrevlex		60	ok	0	0.033673	0.033673	2026-05-15T21:23:49Z	2026-05-15T21:23:49Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4/logs/apply-eco-2-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [x1,x2] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-22k4tvus\eco_2.txt"
