run_id	track	job_id	system_id	instance_id	system_ref	system_sha256	input_ref	input_sha256	software	version	runner	threads	field	order	hardware_track	timeout_s	memory_limit_mb	status	exit_code	wall_time_seconds	process_wall_time_seconds	started_at_utc	finished_at_utc	runner_host	runner_os	runner_processor	runner_machine	runner_cpu_count	runner_word_size	runner_python	log_ref	command
apply-cyclic-2-groebner	apply_vs_axf4__gentle_ember_seal	apply-cyclic-2-groebner	cyclic	cyclic-2	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_2.txt	4792c90961eda17be6a20ad6c742b91dbea397967aa395ed7d49cca80bd53a06	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60		ok	0	0.0003902	15.951434	2026-05-16T09:19:29Z	2026-05-16T09:19:45Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-2-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-q3_czvou\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_2.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-cyclic-2-groebner-apply	apply_vs_axf4__gentle_ember_seal	apply-cyclic-2-groebner-apply	cyclic	cyclic-2	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_2.txt	4792c90961eda17be6a20ad6c742b91dbea397967aa395ed7d49cca80bd53a06	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60		ok	0	0.0005109	6.340589	2026-05-16T09:19:45Z	2026-05-16T09:19:52Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-2-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-q3_czvou\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_2.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-cyclic-2-axf4-t1	apply_vs_axf4__gentle_ember_seal	apply-cyclic-2-axf4-t1	cyclic	cyclic-2	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_2.txt	4792c90961eda17be6a20ad6c742b91dbea397967aa395ed7d49cca80bd53a06	axf4 -t 1	local-copy	axf4	1	GF(2147483647)	degrevlex		60		ok	0	0.393732	0.393732	2026-05-16T09:19:52Z	2026-05-16T09:19:52Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-2-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-37dadx_d\cyclic_2.txt"
apply-cyclic-2-axf4-t8	apply_vs_axf4__gentle_ember_seal	apply-cyclic-2-axf4-t8	cyclic	cyclic-2	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_2.txt	4792c90961eda17be6a20ad6c742b91dbea397967aa395ed7d49cca80bd53a06	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60		ok	0	0.043847	0.043847	2026-05-16T09:19:52Z	2026-05-16T09:19:52Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-2-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-chtru355\cyclic_2.txt"
apply-cyclic-3-groebner	apply_vs_axf4__gentle_ember_seal	apply-cyclic-3-groebner	cyclic	cyclic-3	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_3.txt	abb72c9ef7dbc1e490e16b8c9bb3c6582e492fb2438a6f47573e4e063865f6e7	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60		ok	0	0.0002869	5.982933	2026-05-16T09:19:52Z	2026-05-16T09:19:58Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-3-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-q3_czvou\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_3.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-cyclic-3-groebner-apply	apply_vs_axf4__gentle_ember_seal	apply-cyclic-3-groebner-apply	cyclic	cyclic-3	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_3.txt	abb72c9ef7dbc1e490e16b8c9bb3c6582e492fb2438a6f47573e4e063865f6e7	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60		ok	0	0.00081	6.261721	2026-05-16T09:19:58Z	2026-05-16T09:20:04Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-3-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-q3_czvou\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_3.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
apply-cyclic-3-axf4-t1	apply_vs_axf4__gentle_ember_seal	apply-cyclic-3-axf4-t1	cyclic	cyclic-3	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_3.txt	abb72c9ef7dbc1e490e16b8c9bb3c6582e492fb2438a6f47573e4e063865f6e7	axf4 -t 1	local-copy	axf4	1	GF(2147483647)	degrevlex		60		ok	0	0.070312	0.070312	2026-05-16T09:20:04Z	2026-05-16T09:20:04Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-3-axf4-t1.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2,z3] -t 1 C:\Users\User\AppData\Local\Temp\gbbench-axf4-z8d51d2g\cyclic_3.txt"
apply-cyclic-3-axf4-t8	apply_vs_axf4__gentle_ember_seal	apply-cyclic-3-axf4-t8	cyclic	cyclic-3	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_3.txt	abb72c9ef7dbc1e490e16b8c9bb3c6582e492fb2438a6f47573e4e063865f6e7	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		60		ok	0	0.037135	0.037135	2026-05-16T09:20:04Z	2026-05-16T09:20:05Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-3-axf4-t8.log	"""C:\projects\Alexander Demin\gb_benchmarks\axgrob\axf4.exe"" -p 2147483647 -v [z1,z2,z3] -t 8 C:\Users\User\AppData\Local\Temp\gbbench-axf4-g10dkn7b\cyclic_3.txt"
apply-cyclic-4-groebner	apply_vs_axf4__gentle_ember_seal	apply-cyclic-4-groebner	cyclic	cyclic-4	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_4.txt	7a4521a562785fa6424adde18092aaa7d53f377fa937235bd6b26f4059f25321	Groebner.groebner	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60		ok	0	0.0008591	7.443903	2026-05-16T09:20:05Z	2026-05-16T09:20:12Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-4-groebner.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-q3_czvou\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_4.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner"
apply-cyclic-4-groebner-apply	apply_vs_axf4__gentle_ember_seal	apply-cyclic-4-groebner-apply	cyclic	cyclic-4	systems/cyclic/cyclic.md	9543940fa51f986c12030354f456065aeae1ae981d2d67f9d1522d99df462e01	systems/cyclic/txt/cyclic_4.txt	7a4521a562785fa6424adde18092aaa7d53f377fa937235bd6b26f4059f25321	Groebner.groebner_apply!	0.10.3	groebner_jl	8	GF(2147483647)	degrevlex		60		ok	0	0.0003894	11.032985	2026-05-16T09:20:12Z	2026-05-16T09:20:23Z	DESKTOP-RAOJN57	Windows-10-10.0.19045-SP0	Intel64 Family 6 Model 142 Stepping 10, GenuineIntel	AMD64	8	64	3.10.0	results/apply_vs_axf4__gentle_ember_seal/logs/apply-cyclic-4-groebner-apply.log	"C:\Users\User\AppData\Local\Microsoft\WindowsApps\julia.EXE --startup-file=no C:\Users\User\AppData\Local\Temp\gbbench-groebner-jl-q3_czvou\groebner_jl_worker.jl --input ""C:\projects\Alexander Demin\gb_benchmarks\systems\cyclic\txt\cyclic_4.txt"" --field GF(2147483647) --order degrevlex --threads 8 --method groebner_apply!"
