run_id	track	job_id	system_id	instance_id	system_ref	input_ref	software	version	runner	threads	field	order	hardware_track	timeout_s	memory_limit_mb	peak_memory_mb	status	exit_code	wall_time_seconds	process_wall_time_seconds	started_at_utc	finished_at_utc	runner_host	runner_os	runner_processor	runner_machine	runner_cpu_count	runner_word_size	runner_python	log_ref	command
apply-akt_pathway-groebner	apply_vs_axf4__snowy_sky_otter	apply-akt_pathway-groebner	akt_pathway	akt_pathway	systems/akt_pathway/akt_pathway.md	systems/akt_pathway/txt/akt_pathway.txt	Groebner.groebner	0.10.3	groebner_jl	1	GF(2147483647)	degrevlex		3600	32768	720	ok	0	2.472620879	9.079463	2026-05-17T16:06:39Z	2026-05-17T16:06:48Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-akt_pathway-groebner.log	/home/ademin/.juliaup/bin/julia --startup-file=no /tmp/gbbench-groebner-jl-jpir987z/groebner_jl_worker.jl --input /home/ademin/GroebnerBenchmark/systems/akt_pathway/txt/akt_pathway.txt --field GF(2147483647) --order degrevlex --threads 1 --method groebner
apply-akt_pathway-groebner-apply	apply_vs_axf4__snowy_sky_otter	apply-akt_pathway-groebner-apply	akt_pathway	akt_pathway	systems/akt_pathway/akt_pathway.md	systems/akt_pathway/txt/akt_pathway.txt	Groebner.groebner_apply!	0.10.3	groebner_jl	1	GF(2147483647)	degrevlex		3600	32768	720	ok	0	0.691062897	15.025545	2026-05-17T16:06:48Z	2026-05-17T16:07:03Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-akt_pathway-groebner-apply.log	/home/ademin/.juliaup/bin/julia --startup-file=no /tmp/gbbench-groebner-jl-jpir987z/groebner_jl_worker.jl --input /home/ademin/GroebnerBenchmark/systems/akt_pathway/txt/akt_pathway.txt --field GF(2147483647) --order degrevlex --threads 1 --method groebner_apply!
apply-akt_pathway-groebner-apply-x4	apply_vs_axf4__snowy_sky_otter	apply-akt_pathway-groebner-apply-x4	akt_pathway	akt_pathway	systems/akt_pathway/akt_pathway.md	systems/akt_pathway/txt/akt_pathway.txt	Groebner.groebner_apply! x4	0.10.3	groebner_jl	1	GF(2147483647)	degrevlex		3600	32768	805	ok	0	0.1944893945	16.274617	2026-05-17T16:07:03Z	2026-05-17T16:07:19Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-akt_pathway-groebner-apply-x4.log	"/home/ademin/.juliaup/bin/julia --startup-file=no /tmp/gbbench-groebner-jl-jpir987z/groebner_jl_worker.jl --input /home/ademin/GroebnerBenchmark/systems/akt_pathway/txt/akt_pathway.txt --field GF(2147483647) --order degrevlex --threads 1 --method ""groebner_apply! x4"""
apply-akt_pathway-axf4-t1	apply_vs_axf4__snowy_sky_otter	apply-akt_pathway-axf4-t1	akt_pathway	akt_pathway	systems/akt_pathway/akt_pathway.md	systems/akt_pathway/txt/akt_pathway.txt	axf4 -t 1	local-copy	axf4	1	GF(2147483647)	degrevlex		3600	32768	287	ok	0	6.494345	6.494345	2026-05-17T16:07:19Z	2026-05-17T16:07:26Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-akt_pathway-axf4-t1.log	/home/ademin/GroebnerBenchmark/../axgrob/axf4 -p 2147483647 -v [Akt_0,Akt_1,Akt_2,Akt_3,Akt_4,Akt_5,EGF_EGFR_0,EGF_EGFR_1,EGF_EGFR_2,EGF_EGFR_3,EGF_EGFR_4,EGF_EGFR_5,S6_0,S6_1,S6_2,S6_3,S6_4,pAkt_0,pAkt_1,pAkt_2,pAkt_3,pAkt_4,pAkt_5,pAkt_S6_0,pAkt_S6_1,pAkt_S6_2,pAkt_S6_3,pAkt_S6_4,pAkt_S6_5,pEGFR_0,pEGFR_1,pEGFR_2,pEGFR_3,pEGFR_4,pEGFR_5,pEGFR_6,pEGFR_Akt_0,pEGFR_Akt_1,pEGFR_Akt_2,pEGFR_Akt_3,pEGFR_Akt_4,pEGFR_Akt_5,pEGFR_Akt_6,pS6_0,pS6_1,pS6_2,pS6_3,pS6_4,pS6_5,reaction_2_k2_0,reaction_3_k1_0,reaction_4_k1_0,reaction_5_k1_0,reaction_6_k1_0,reaction_7_k1_0,reaction_8_k1_0,reaction_9_k1_0] -t 1 /tmp/gbbench-axf4-954j7dhk/akt_pathway.txt
apply-akt_pathway-axf4-t8	apply_vs_axf4__snowy_sky_otter	apply-akt_pathway-axf4-t8	akt_pathway	akt_pathway	systems/akt_pathway/akt_pathway.md	systems/akt_pathway/txt/akt_pathway.txt	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		3600	32768	294	ok	0	3.071030	3.071030	2026-05-17T16:07:26Z	2026-05-17T16:07:29Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-akt_pathway-axf4-t8.log	/home/ademin/GroebnerBenchmark/../axgrob/axf4 -p 2147483647 -v [Akt_0,Akt_1,Akt_2,Akt_3,Akt_4,Akt_5,EGF_EGFR_0,EGF_EGFR_1,EGF_EGFR_2,EGF_EGFR_3,EGF_EGFR_4,EGF_EGFR_5,S6_0,S6_1,S6_2,S6_3,S6_4,pAkt_0,pAkt_1,pAkt_2,pAkt_3,pAkt_4,pAkt_5,pAkt_S6_0,pAkt_S6_1,pAkt_S6_2,pAkt_S6_3,pAkt_S6_4,pAkt_S6_5,pEGFR_0,pEGFR_1,pEGFR_2,pEGFR_3,pEGFR_4,pEGFR_5,pEGFR_6,pEGFR_Akt_0,pEGFR_Akt_1,pEGFR_Akt_2,pEGFR_Akt_3,pEGFR_Akt_4,pEGFR_Akt_5,pEGFR_Akt_6,pS6_0,pS6_1,pS6_2,pS6_3,pS6_4,pS6_5,reaction_2_k2_0,reaction_3_k1_0,reaction_4_k1_0,reaction_5_k1_0,reaction_6_k1_0,reaction_7_k1_0,reaction_8_k1_0,reaction_9_k1_0] -t 8 /tmp/gbbench-axf4-kl9hs0vm/akt_pathway.txt
apply-alea6-groebner	apply_vs_axf4__snowy_sky_otter	apply-alea6-groebner	alea6	alea6	systems/alea6/alea6.md	systems/alea6/txt/alea6.txt	Groebner.groebner	0.10.3	groebner_jl	1	GF(2147483647)	degrevlex		3600	32768	562	ok	0	0.042471463	1.825614	2026-05-17T16:07:29Z	2026-05-17T16:07:31Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-alea6-groebner.log	/home/ademin/.juliaup/bin/julia --startup-file=no /tmp/gbbench-groebner-jl-jpir987z/groebner_jl_worker.jl --input /home/ademin/GroebnerBenchmark/systems/alea6/txt/alea6.txt --field GF(2147483647) --order degrevlex --threads 1 --method groebner
apply-alea6-groebner-apply	apply_vs_axf4__snowy_sky_otter	apply-alea6-groebner-apply	alea6	alea6	systems/alea6/alea6.md	systems/alea6/txt/alea6.txt	Groebner.groebner_apply!	0.10.3	groebner_jl	1	GF(2147483647)	degrevlex		3600	32768	567	ok	0	0.019308865	1.645736	2026-05-17T16:07:31Z	2026-05-17T16:07:32Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-alea6-groebner-apply.log	/home/ademin/.juliaup/bin/julia --startup-file=no /tmp/gbbench-groebner-jl-jpir987z/groebner_jl_worker.jl --input /home/ademin/GroebnerBenchmark/systems/alea6/txt/alea6.txt --field GF(2147483647) --order degrevlex --threads 1 --method groebner_apply!
apply-alea6-groebner-apply-x4	apply_vs_axf4__snowy_sky_otter	apply-alea6-groebner-apply-x4	alea6	alea6	systems/alea6/alea6.md	systems/alea6/txt/alea6.txt	Groebner.groebner_apply! x4	0.10.3	groebner_jl	1	GF(2147483647)	degrevlex		3600	32768	620	ok	0	0.01334324525	3.071295	2026-05-17T16:07:32Z	2026-05-17T16:07:35Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-alea6-groebner-apply-x4.log	"/home/ademin/.juliaup/bin/julia --startup-file=no /tmp/gbbench-groebner-jl-jpir987z/groebner_jl_worker.jl --input /home/ademin/GroebnerBenchmark/systems/alea6/txt/alea6.txt --field GF(2147483647) --order degrevlex --threads 1 --method ""groebner_apply! x4"""
apply-alea6-axf4-t1	apply_vs_axf4__snowy_sky_otter	apply-alea6-axf4-t1	alea6	alea6	systems/alea6/alea6.md	systems/alea6/txt/alea6.txt	axf4 -t 1	local-copy	axf4	1	GF(2147483647)	degrevlex		3600	32768	49	ok	0	0.314953	0.314953	2026-05-17T16:07:35Z	2026-05-17T16:07:36Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-alea6-axf4-t1.log	/home/ademin/GroebnerBenchmark/../axgrob/axf4 -p 2147483647 -v [x0,x1,x2,x3,x4,x5] -t 1 /tmp/gbbench-axf4-h5z3uzgo/alea6.txt
apply-alea6-axf4-t8	apply_vs_axf4__snowy_sky_otter	apply-alea6-axf4-t8	alea6	alea6	systems/alea6/alea6.md	systems/alea6/txt/alea6.txt	axf4 -t 8	local-copy	axf4	8	GF(2147483647)	degrevlex		3600	32768	51	ok	0	0.068787	0.068787	2026-05-17T16:07:36Z	2026-05-17T16:07:36Z	calcul-ouragan	Linux-6.1.0-1029-oem-x86_64-with-glibc2.35	13th Gen Intel(R) Core(TM) i9-13900	x86_64	32	64	3.10.12	results/apply_vs_axf4__snowy_sky_otter/logs/apply-alea6-axf4-t8.log	/home/ademin/GroebnerBenchmark/../axgrob/axf4 -p 2147483647 -v [x0,x1,x2,x3,x4,x5] -t 8 /tmp/gbbench-axf4-g1nfkjy4/alea6.txt
